,$- fb$,$+ fb$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_2$,$k_4$,$k_6$,$d_1$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
799,0.00013438457367512515,263.506509312567,0.0006008634871137169,127.77159451455805,9050.422893529396,1636.6121545721023,0.00020503065477869273,39.60422100880057,0.013264798530048603,9233.876137191943,0.00011405785717325127,7496.358786016994,832.1010667306546,8.085703918149094e-05,9.258763196199186e-05,0.03030131921700339,25.012685071870596
800,0.00030273731577721744,27.33534413552585,7356.9347093346,0.1072668318344149,827.2228719537459,253.4990141121943,0.10220464953973518,0.668802328171911,0.01728233288061319,54.17521683111453,0.0018915608068495687,1.0326309509985148,33.57777056828922,0.0003810122081174745,0.0003397255960238868,0.004682295287923612,0.5699060340998554
801,0.00019362557694136388,51.38375841548109,7086.770614786797,0.08104684075307296,761.0425381113297,211.64136657951167,0.06799579562970787,0.8519364363796951,0.01176709803780653,57.56605201040945,0.0026233830953103117,1.0312693012732244,31.96458958356816,0.0005075482507097955,0.0002928429853484866,0.005352531233418294,0.5982099525743874
802,8.126663795624652e-05,124.87192077756357,460.98752223238154,0.0018459167481583965,20.577978099557328,1076.946550553618,0.00011433768142791828,53.18504845963635,962.2282076896471,201.78748906929775,0.0030535771733778854,0.10152691377951314,1.3771940775675475,0.00012909704034135564,7.156464463451183e-05,7133.443370164852,0.5890683244191599
803,0.00020103084014930098,34.56031118705244,10727.405728166374,0.09193421966555437,807.7198874816926,204.74983210302761,0.0817125805268382,0.8241645088112826,0.009318792896643453,42.14301684312993,0.0023436023504968075,0.7171348426087533,50.88277912493849,0.00036065822367874087,0.0002751332207185953,0.004132423308937191,0.5053405564143881
804,0.0004355407709157027,1561.9871323915866,0.00012640222660095828,294.13042391868646,7432.2918515673155,8907.951984246745,0.0005932617610717078,903.5064881342266,450.4203925882087,9103.440710384311,0.00012565339750944483,776.3294206810716,454.15658715077166,8.010718653877107e-05,7.332474306426995e-05,2020.2653885933842,3.759937531859345
805,20.868122059431087,1404.656870033731,8605.249002209326,2168.2080197222085,7984.690254263171,9166.238482018989,35.65282351011493,1502.816158480571,2788.3433627133427,3946.3913199553344,0.005549409824345593,2813.6122414960832,442.3597369679697,0.00019228194125143713,0.00010677236583168995,10722.288972759665,1.4061537656040644
806,0.00013823220192002398,33.13726318099689,9637.254330019621,0.09475875738298759,643.7370052383411,172.75649434323643,0.0715261766814772,0.7803848832048943,0.013281319876513542,41.55807305169732,0.0018413292511842052,0.7575672342017516,28.692621142126857,0.0004801824498782478,0.00022633152061614966,0.005213154799084073,0.5463644662232231
807,0.0012858792353467115,62.67483975306054,0.0001379548117796263,3.701897543726807,1.6084768143357009,346.98807457852456,0.0018905123334653528,120.92192263670454,79.87886041594851,3253.075468031652,0.00010410039478944907,55.74191109982314,0.010805744033093478,8.359363163647484e-05,0.00011623053339341894,208.72207142347645,26.865567238302482
808,47.89081060314932,42.37743921913911,0.00011466838209908068,0.0004763964822462874,0.6548420764662229,276.6085812091082,42.302662798667,49.33379345884347,244.53010388333038,12082.648900554295,0.00014369108210233114,0.00554525674070153,0.001958562984303982,0.0012163479605552194,0.0001184041730035671,805.8059732896805,172.9526731654107
